Level,Part Number,Qty,Description,Revision,UM,Category,Source,VendorCode,ProductLine,Bin,PurchaseUM,MFG PartNo,MFG Name,Cost
1.3.11,    P-FYH-UQ-998-06025-F,1,M6 x 25mm Hex Head Cap Screw; 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,M82550025A20000,Fastenal,6.49
1.3.12,    P-FYH-UQ-998-08020-F,2,M8 x 20 Hex Head Cap Screw: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,M82580020A20000,Fastenal,17.65
1.3.13,    P-FYH-UQ-998-10045-F,4,M10 x 45 Hex Head Cap Screw; 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,EA,M82600045A20000,Fastenal,1.01
1.3.14,    P-FYH-UQ-998-12040-F,6,M12 X 40 Hex Head; 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,M82650040A20000,Fastenal,25.7
1.3.15,    P-NYN-UQ-998-06000,1,M6 x 1.0 Nylock Nut: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,1L2550000A20000,Fastenal,0.2545
1.3.16,    P-NYN-UQ-998-08000,2,M8 x 1.25 Nylock Nut: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,1L2580000A20000,Fastenal,0.5449
1.3.17,    P-NYN-UQ-998-10000,4,M10 x 1.5 Nylock Nut; 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,1L2600000A20000,Fastenal,47.68
1.3.18,    P-NYN-UQ-998-12000,6,M12 x 1.75 Nylock Nut: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,EA,1L2650000A20000,Fastenal,1.58
1.3.19,    P-PFD-ZZ-999-50100,4,"1/2"" x 1.00"" Positive Lock Pin",,EA,Nor,P,PIV010,5,HWARE,EA,PL8-1000,Pivot Point,
1.3.20,    P-PFD-ZZ-999-50150,2,"1/2"" x 1.50"" Positive Lock Pin",,EA,Nor,P,PIV010,5,HWARE,EA,PL8-1500,Pivot Point,16.78
1.3.21,    P-QFQ-FY-999-00559,10,Light Duty Chain: 4/0 Trade Size: Yellow,,EA,Nor,P,MCM010,5,HWARE,FT,3594T92,McMaster-Carr,3.47
1.3.22,    P-QFQ-ZZ-999-00009,4,"Carabiner-Style Connector 5/16"" Snap Opening: 5/16"" Eye Diameter: 205 lb Wll",,EA,Nor,P,MCM010,5,HWARE,EA,3933T12,McMaster-Carr,1.02
1.3.23,    P-QFQ-ZZ-999-00014,4,"Oval Threaded Connector: 1/4"" Dia.",,EA,Nor,P,MCM010,5,HWARE,EA,8947T16,McMaster-Carr,1.56
1.3.24,    P-QRQ-UB-999-00007,1,"Quick-Fist Rubber Clamp: 1"" - 2-1/2"" Grip Diameter",,EA,Nor,P,END010,5,HWARE,EA,10010,End of the Road,
1.3.25,    P-QRQ-UB-999-00008,1,"Quick-Fist Rubber Clamp: 5/8"" - 1-3/8"" Grip Diameter",,EA,Nor,P,END010,3,P3E,EA,30050,End of the Road,3
1.3.26,    P-QSQ-KB-999-00001,4,"6"" SS Wire Rope Lanyard: Loop-Tab: Black",,EA,Nor,P,PIV010,5,HWARE,EA,ARING1-47BNS1-P,Pivot Point,2.76
1.3.27,    P-WPQ-QW-999-38000,2,"3/8"" x 3/4"" OD Flat Washer: Nylon",,EA,Nor,P,MCM010,5,HWARE,PG,90295A170,McMaster-Carr,7.36
1.3.28,    P-WYQ-UQ-998-06000,1,M6 x 12mm OD Flat Washer: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,MW6360000A20000,Fastenal,0.046
1.3.29,    P-WYQ-UQ-998-08000,4,M8 x 16mm OD Flat Washer: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,MW6380000A20000,Fastenal,0.0772
1.3.30,    P-WYQ-UQ-998-10000,8,M10 x 20mm OD Flat Washer: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,MW6400000A20000,Fastenal,7.8
1.3.31,    P-WYQ-UQ-998-12000,12,M12 x 24mm OD Flat Washer: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,MW6420000A20000,Fastenal,6.6
1.4,  P3E-HXK-001-0155,1,2016 BEARCAT G2 LIBERATOR (DENMARK),,EA,Nor,F,PAT003,PE,P3E,EA,,Patriot3,
1.4.1,    A-VAQ-TB-003-01064,1,BEARCAT LIBERATOR MER ASSEMBLY,,EA,Nor,F,PAT003,PE,P3E,EA,,Patriot3,
1.4.1.1,      A-WAQ-AB-001-00375,1,LIBERATOR MER BUMPER BRACKET,A,EA,NOR,P,FAB010,3,P3E,EA,WD3375,Fab Tech,
1.4.1.1.1,        F-DAS-UQ-001-00089,1,BUMPER BRACKET FACE SHEET,,EA,PHT,F,FAB010,3,P3E,EA,AS3089,Fab Tech,
1.4.1.1.2,        F-DAS-UQ-003-00088,1,LIB. MER FORMED BUMPER BRACKET SHEET,A,EA,PHT,F,FAB010,3,P3E,EA,AS3088,Fab Tech,
1.4.1.2,      A-WAQ-AB-003-00101,1,BEARCAT LIBERATOR MER WELDMENT,G,EA,NOR,P,FAB010,3,P3E,EA,WD3101,Fab Tech,
1.4.1.2.1,        F-DAP-UQ-003-00028,2,LIBERATOR MER MALE HINGE,B,EA,PHT,F,FAB010,3,P3E,EA,AP3028,Fab Tech,
1.4.1.2.2,        F-DAS-UQ-001-00019,1,LIBERATOR MER FACE SHEET,C,EA,PHT,F,FAB010,3,P3E,EA,AS3019,Fab Tech,
1.4.1.2.3,        F-DAS-UQ-001-00059,1,MER SIDE SHEET-LH,F,EA,Pht,F,FAB010,3,P3E,EA,AS1059,Fab Tech,
1.4.1.2.4,        F-DAS-UQ-001-00060,1,MER SIDE SHEET-RH,F,EA,Pht,F,FAB010,3,P3E,EA,AS1060,Fab Tech,
1.4.1.2.5,        F-DAS-UQ-001-00326,2,MER HAND RAIL SOCKET END CAP,,EA,PHT,F,FAB010,3,P3E,EA,AS1326,Fab Tech,
1.4.1.2.6,        F-DAS-UQ-003-00020,1,LIBERATOR MER REAR SHEET,,EA,PHT,F,FAB010,3,P3E,EA,AS3020,Fab Tech,
1.4.1.2.7,        F-DAS-UQ-003-00021,2,MER SIDE SHEET,D,EA,Pht,F,FAB010,3,P3E,EA,AS3021,Fab Tech,
1.4.1.2.8,        F-DAT-UQ-001-00017,2,MER HAND RAIL RECEIVER: REAR,,EA,PHT,F,FAB010,3,P3E,ea,AT1017,Fab Tech,
1.4.1.2.9,        F-DAT-UQ-001-00134,2,MER HAND RAIL RECEIVER: FRONT,,EA,PHT,F,FAB010,3,P3E,EA,AT1134,Fab Tech,
1.4.1.2.10,        F-SAA-UQ-003-00039,2,GRIP STRUT SUPPORT ANGLE,,EA,PHT,F,FAB010,3,P3E,EA,AA3039,Fab Tech,
1.4.1.2.11,        F-SAG-UQ-003-00017,2,LIBERATOR MER NARROW GRIPSTRUT,,EA,PHT,F,FAB010,3,P3E,EA,GS3017,Fab Tech,
1.4.1.2.12,        F-SAG-UQ-003-00018,3,LIBERATOR MER WIDE GRIPSTRUT,,EA,PHT,F,FAB010,3,P3E,EA,GS3018,Fab Tech,
1.4.1.3,      F-DAT-AB-001-00016,2,MER HAND RAIL,C,EA,Nor,P,FAB010,3,P3E,EA,AT1016,Fab Tech,112
1.4.1.4,      F-DFS-PB-003-01002,2,LIBERATOR MER BUMPER BRACKET,,EA,Nor,P,FAB010,3,P3E,EA,FS31002,Fab Tech,
1.4.1.5,      F-ONM-UB-001-00001,1,MER STRAP,,EA,Nor,P,CAP001,3,P3E,EA,AMTC-B1084-BL,Capewell Aerial Systems,
1.4.1.6,      P-FAR-UQ-999-19025-N,4,"3/16"" Dia 0.126-.0250"" Grip Range Aluminum Rivet",,EA,Nor,P,FAS010,5,HWARE,PG,155932,Fastenal,44.75
1.4.1.7,      P-FYD-UQ-999-14100-F,6,"#10 x 1.00"" Self-Tapping Screw: 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,PG,1131952,Fastenal,0.4166
1.4.1.8,      P-FYH-UQ-998-10025-F,8,M10 x 25 Hex Head Cap Screw: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,M82600025A20000,Fastenal,22.08
1.4.1.9,      P-FYH-UQ-998-10030-F,3,M10 x 30 Hex Head Cap Screw: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,M82600030A20000,Fastenal,25.25
1.4.1.10,      P-FYH-UQ-999-38063-F,2,"3/8""-16 x 5/8"" Hex Head Cap Screw; 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,PG,1170102,Fastenal,12.73
1.4.1.11,      P-FYS-UQ-998-06020-F,10,M6 x 20 Socket Head Cap Screw: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,EA,MS2550020A20000,Fastenal,0.3341
1.4.1.12,      P-NYN-UQ-998-06000,10,M6 x 1.0 Nylock Nut: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,1L2550000A20000,Fastenal,0.2545
1.4.1.13,      P-NYN-UQ-998-10000,11,M10 x 1.5 Nylock Nut; 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,1L2600000A20000,Fastenal,47.68
1.4.1.14,      P-PFD-ZZ-999-38175,4,"3/8"" X 1.75"" Positive-Lock Pin",,EA,Nor,P,PIV010,5,HWARE,EA,PL6-1750,Pivot Point,9.07
1.4.1.15,      P-QRQ-UB-999-00007,6,"Quick-Fist Rubber Clamp: 1"" - 2-1/2"" Grip Diameter",,EA,Nor,P,END010,5,HWARE,EA,10010,End of the Road,
1.4.1.16,      P-QRQ-UB-999-00016,5,"1.25""W x 4""L x 3/4""H Rubber Bumper",,EA,NOR,P,AST010,5,HWARE,EA,M-1823-W,Astro-Tex,2.35
1.4.1.17,      P-QRQ-UB-999-00018,2,"Rubber Bumper with 3/8""-16 Threaded Hole",,EA,Nor,P,MCM010,5,HWARE,EA,9546K23,McMaster-Carr,8.86
1.4.1.18,      P-QSQ-KB-999-00002,4,"8"" SS Wire Rope Lanyard: Loop-Tab: Black",,EA,Nor,P,PIV010,5,HWARE,EA,ARING1-47BNS1-P1,Pivot Point,2.81
1.4.1.19,      P-WYL-UQ-999-38000,2,"3/8"" Split Lock Washer: 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,EA,71067,Fastenal,0.155
1.4.1.20,      P-WYQ-UQ-998-06000,10,M6 x 12mm OD Flat Washer: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,MW6360000A20000,Fastenal,0.046
1.4.1.21,      P-WYQ-UQ-998-10000,22,M10 x 20mm OD Flat Washer: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,MW6400000A20000,Fastenal,7.8
1.4.1.22,      P-WYQ-UQ-999-38000,2,"3/8"" x 7/8"" OD Flat Washer: 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,PG,1171017,Fastenal,4.13
1.4.2,    A-VFQ-TB-003-00766,1,BEARCAT G2 PUMP HOUSING ASSEMBLY,,EA,Nor,F,PAT003,PE,P3E,EA,,Patriot3,
1.4.2.1,      A-WFQ-PB-003-00239,1,LIBERATOR PUMP PAN ASSEMBLY,,EA,Nor,P,FAB010,3,P3E,EA,WD3239,Fab Tech,
1.4.2.1.1,        F-DFS-UQ-003-00043,2,DRAWER SLIDE BRACKET,,EA,Pht,F,FAB010,3,P3E,EA,FS3043,Fab Tech,
1.4.2.1.2,        F-DFS-UQ-003-00044,1,GAS SPRING LOWER TAB,A,EA,Pht,F,FAB010,3,P3E,EA,FS3044,Fab Tech,
1.4.2.1.3,        F-DFS-UQ-003-00073,1,HYDRAULIC PUMP PAN,,EA,Pht,F,FAB010,3,P3E,EA,FS3073,Fab Tech,
1.4.2.2,      A-WFQ-PQ-003-00267,1,BEARCAT PUMP MOUNT WELDMENT,,EA,Nor,P,FAB010,3,P3E,EA,WD3267,Fab Tech,
1.4.2.2.1,        F-DFA-UQ-003-00027,2,PUMP MOUNT LONG ANGLE,,EA,Pht,F,FAB010,3,P3E,EA,FA3027,Fab Tech,
1.4.2.2.2,        F-DFA-UQ-003-00028,2,PUMP MOUNT SHORT ANGLE,,EA,Pht,F,FAB010,3,P3E,EA,FA3028,Fab Tech,
1.4.2.2.3,        F-DFS-UQ-003-00038,4,PUMP COVER CORNER GUSSET,A,EA,Pht,F,FAB010,3,P3E,EA,FS3038,Fab Tech,
1.4.2.2.4,        F-DFS-UQ-003-00053,1,PUMP MOUNT GAS SPRING TAB,,EA,Pht,F,FAB010,3,P3E,EA,FS3053,Fab Tech,
1.4.2.2.5,        F-DFS-UQ-003-00072,1,HYDRAULIC PUMP COVER SHEET,,EA,Pht,F,FAB010,3,P3E,EA,FS3072,Fab Tech,
1.4.2.2.6,        F-DFS-UQ-003-00076,2,PUMP MOUNT TAB,,EA,Pht,F,FAB010,3,P3E,EA,FS3076,Fab Tech,
1.4.2.3,      F-DFP-PB-003-00113,2,PUMP HOUSING BRACKET,,EA,Nor,P,FAB010,3,P3E,EA,FP3113,Fab Tech,
1.4.2.4,      P-DSQ-UQ-999-00001,2,"SS Drawer Slide W/O Release: 12"" L: 12-9/16"" L Travel: 176 lbs/Pr",,EA,Nor,P,MCM010,5,HWARE,EA,13875A510,McMaster-Carr,52.36
1.4.2.5,      P-EPG-QB-999-00003,1,"Cord Grip (NEMA 6) Straight: 1/2"" NPT: .20""-.35"" Cord Dia",,EA,Nor,P,MCM010,5,HWARE,EA,69915K54,McMaster-Carr,3.24
1.4.2.6,      P-FMS-UQ-999-31150-F,4,"5/16""-18 x 1-1/2"" Socket Head Cap Screw w/ Nylon Patch",,EA,Nor,P,FAS010,5,HWARE,EA,M82650035A20000,Fastenal,1.01
1.4.2.7,      P-FYH-UQ-998-12030-F,4,M12 X 30 Hex Head; 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,M82650030A20000,Fastenal,14.6
1.4.2.8,      P-FYH-UQ-998-12035-F,4,M12 x 35 Hex Head Cap Screw; 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,M82650035A20000,Fastenal,19.3
1.4.2.9,      P-FYH-UQ-999-38088-F,2,"3/8""-16 x 7/8"" Hex Head Cap Screw: 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,PG,1170861,Fastenal,12.64
1.4.2.10,      P-FYM-UQ-999-12050-F,18,#8-32 Pan Head Phillips Machine Screw; 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,EA,1171017,Fastenal,0.03
1.4.2.11,      P-GMC-QQ-999-00003,1,"Close-Assist Gas Spring 26.18"" Extended Length: 10.03"" Stroke: 30 lb Force",,EA,Nor,P,MCM010,5,HWARE,EA,9502T7,McMaster-Carr,155.2
1.4.2.12,      P-NFS-QB-999-31000,4,"5/16""-18 Speed Nut",,EA,Nor,P,FAS010,5,HWARE,PG,1L2650000A20000,Fastenal,1.58
1.4.2.13,      P-NYN-UQ-998-12000,8,M12 x 1.75 Nylock Nut: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,EA,1L2650000A20000,Fastenal,1.58
1.4.2.14,      P-NYN-UQ-999-12000,18,8-32 Nylock Nut: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,1170856,Fastenal,11.11
1.4.2.15,      P-NYN-UQ-999-31000,2,"5/16""-18 Nylock Nut: 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,PG,1170104,Fastenal,12.99
1.4.2.16,      P-QPQ-UB-999-00019,2,"2"" Round Louver Vent",,EA,Nor,P,MOU010,5,HWARE,EA,836-2594,Mouser Electronics,1.17
1.4.2.17,      P-WYL-UQ-999-38000,2,"3/8"" Split Lock Washer: 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,EA,71067,Fastenal,0.155
1.4.2.18,      P-WYQ-UQ-998-12000,16,M12 x 24mm OD Flat Washer: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,MW6420000A20000,Fastenal,6.6
1.4.2.19,      P-WYQ-UQ-999-08000,18,"#8 x 3/8"" OD Flat Washer: 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,EA,1171007,Fastenal,0.0341
1.4.2.20,      P-WYQ-UQ-999-31000,8,"5/16"" x 3/4"" OD Flat Washer: 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,PG,1171015,Fastenal,8.44
1.4.2.21,      P-WYQ-UQ-999-38000,2,"3/8"" x 7/8"" OD Flat Washer: 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,PG,1171017,Fastenal,4.13
1.4.3,    A-VFQ-TB-003-01065,1,BEARCAT LIBERATOR SCISSOR ASSEMBLY,,EA,Nor,F,FAB010,PE,P3E,EA,,Fab Tech,
1.4.3.1,      A-WFQ-PB-003-00311,1,LIBERATOR LOWER SCISSOR WELDMENT,A,EA,Nor,P,FAB010,3,P3E,EA,WD3311,Fab Tech,
1.4.3.1.1,        A-WFQ-UQ-001-00124,3,LOWER SCISSOR CLEVIS,A,EA,Pht,F,FAB010,3,P3E,EA,WD1124,Fab Tech,
1.4.3.1.1.1,          F-DFP-UQ-001-00053,2,LOWER SCISSOR CLEVIS SIDE,A,EA,Pht,F,FAB010,3,P3E,EA,FP1053,Fab Tech,
1.4.3.1.1.2,          F-DFP-UQ-001-00054,1,LOWER SCISSOR CLEVIS BASE,A,EA,Pht,F,FAB010,3,P3E,EA,FP1054,Fab Tech,
1.4.3.1.2,        F-DFP-UQ-001-00014,1,LOWER SCISSOR CYLINDER LUG,,EA,Pht,F,FAB010,3,P3E,EA,FP1014,Fab Tech,
1.4.3.1.3,        F-DFT-UQ-003-00084,2,LOWER SCISSOR SIDE TUBE,,EA,Pht,F,FAB010,3,P3E,EA,FT3084,Fab Tech,
1.4.3.1.4,        F-DFT-UQ-003-00085,2,LOWER SCISSOR MITER TUBE,,EA,Pht,F,FAB010,3,P3E,EA,FT3085,Fab Tech,
1.4.3.1.5,        F-DFT-UQ-003-00086,1,LOWER SCISSOR REAR TUBE,,EA,Pht,F,FAB010,3,P3E,EA,FT3086,Fab Tech,
1.4.3.1.6,        F-SFT-UQ-001-00007,2,LOWER SCISSOR BUSHING TUBE,,EA,Pht,F,FAB010,3,P3E,EA,FT1007,Fab Tech,
1.4.3.1.7,        F-SFT-UQ-003-00068,2,LOWER SCISSOR MID TUBE,,EA,Pht,F,FAB010,3,P3E,EA,FT3068,Fab Tech,
1.4.3.1.8,        F-SFT-UQ-003-00069,1,LOWER SCISSOR FRONT TUBE,,EA,Pht,F,FAB010,3,P3E,EA,FT3069,Fab Tech,
1.4.3.2,      A-WFQ-PB-003-00353,1,LIBERATOR UPPER SCISSOR WELDMENT,A,EA,NOR,P,FAB010,3,P3E,EA,WD3353,Fab Tech,
1.4.3.2.1,        A-WFQ-UQ-003-00354,1,UPPER SCISSOR SIDE SUBASSY: RH,,EA,PHT,F,FAB010,3,P3E,EA,WD3354,Fab Tech,
1.4.3.2.1.1,          F-DFS-UQ-001-00028,1,UPPER SCISSOR HYD CYL RIB,,EA,PHT,F,FAB010,3,P3E,EA,FS1028,Fab Tech,
1.4.3.2.1.2,          F-DFS-UQ-001-00029,1,UPPER SCISSOR RIB 1,,EA,PHT,F,FAB010,3,P3E,EA,FS1029,Fab Tech,
1.4.3.2.1.3,          F-DFS-UQ-001-00030,1,UPPER SCISSOR RIB 2,,EA,PHT,F,FAB010,3,P3E,EA,FS1030,Fab Tech,
1.4.3.2.1.4,          F-DFS-UQ-001-00093,1,ROD MOUNT TEE PLATE,,EA,PHT,F,FAB010,3,P3E,EA,FS1093,Fab Tech,
1.4.3.2.1.5,          F-DFS-UQ-003-00099,1,ARC UPPER SCISSOR SIDE: RH,,EA,PHT,F,FAB010,3,P3E,EA,FS3099,Fab Tech,
1.4.3.2.1.6,          F-SFT-UQ-001-00003,1,UPPER SCISSOR ROD EYE TUBE,,EA,PHT,F,FAB010,3,P3E,EA,FT1003,Fab Tech,
1.4.3.2.2,        A-WFQ-UQ-003-00355,1,UPPER SCISSOR SIDE SUBASSY: RH,,EA,PHT,F,FAB010,3,P3E,EA,WD3355,Fab Tech,
1.4.3.2.2.1,          F-DFS-UQ-001-00028,1,UPPER SCISSOR HYD CYL RIB,,EA,PHT,F,FAB010,3,P3E,EA,FS1028,Fab Tech,
1.4.3.2.2.2,          F-DFS-UQ-001-00029,1,UPPER SCISSOR RIB 1,,EA,PHT,F,FAB010,3,P3E,EA,FS1029,Fab Tech,
1.4.3.2.2.3,          F-DFS-UQ-001-00030,1,UPPER SCISSOR RIB 2,,EA,PHT,F,FAB010,3,P3E,EA,FS1030,Fab Tech,
1.4.3.2.2.4,          F-DFS-UQ-001-00093,1,ROD MOUNT TEE PLATE,,EA,PHT,F,FAB010,3,P3E,EA,FS1093,Fab Tech,
1.4.3.2.2.5,          F-DFS-UQ-003-00100,1,ARC UPPER SCISSOR SIDE: LH,,EA,PHT,F,FAB010,3,P3E,EA,FS3100,Fab Tech,
1.4.3.2.2.6,          F-SFT-UQ-001-00003,1,UPPER SCISSOR ROD EYE TUBE,,EA,PHT,F,FAB010,3,P3E,EA,FT1003,Fab Tech,
1.4.3.2.3,        F-DFS-UQ-001-00008,1,UPPER SCISSOR GUSSET-LH,A,EA,Pht,F,FAB010,3,P3E,EA,FS1008,Fab Tech,0.65
1.4.3.2.4,        F-DFS-UQ-001-00033,1,UPPER SCISSOR GUSSET-RH,A,EA,PHT,F,FAB010,3,P3E,EA,FS1033,Fab Tech,
1.4.3.2.5,        F-DFS-UQ-001-00090,1,SHORT SCISSOR BRACE,B,EA,PHT,F,FAB010,3,P3E,EA,FS1090,Fab Tech,
1.4.3.2.6,        F-DFS-UQ-001-00091,1,TALL SCISSOR BRACE,,EA,PHT,F,FAB010,3,P3E,EA,FS1091,Fab Tech,
1.4.3.2.7,        F-DFS-UQ-003-00090,1,SCISSOR GUSSET: RH,,EA,PHT,F,FAB010,3,P3E,EA,FS3090,Fab Tech,
1.4.3.2.8,        F-DFS-UQ-003-00091,1,SCISSOR GUSSET: LH,,EA,PHT,F,FAB010,3,P3E,EA,FS3091,Fab Tech,
1.4.3.2.9,        F-SFS-UQ-001-00092,5,UPPER SCISSOR BRACE PLATE,,EA,PHT,F,FAB010,3,P3E,EA,FS1092,Fab Tech,
1.4.3.2.10,        F-SFT-UQ-001-00012,4,UPPER SCISSOR BUSHING TUBE,A,EA,PHT,F,FAB010,3,P3E,EA,FT1012,Fab Tech,
1.4.3.2.11,        F-SFT-UQ-003-00072,1,ARC UPPER SCISSOR REAR TUBE,,EA,PHT,F,FAB010,3,P3E,EA,FT3072,Fab Tech,
1.4.3.2.12,        F-SFT-UQ-003-00083,1,UPPER SCISSOR FRONT TUBE,,EA,PHT,F,FAB010,3,P3E,EA,FT3083,Fab Tech,
1.4.3.3,      F-DSR-UQ-001-00005,1,UPPER ROD EYE SHAFT,,EA,Nor,P,FAB010,3,P3E,EA,SR1005,Fab Tech,32
1.4.3.4,      F-DSR-UQ-001-00008,4,SCISSOR BASE SHAFT,,EA,Nor,P,FAB010,3,P3E,EA,SR1008,Fab Tech,
1.4.3.5,      F-DSR-UQ-003-00002,1,LIBERATOR SCISSOR JOINING SHAFT,,EA,Nor,P,FAB010,3,P3E,EA,SR3002,Fab Tech,
1.4.3.6,      F-SSR-UQ-003-00003,1,LIBERATOR SCISSOR FRONT UPPER SHAFT,,EA,Nor,P,FAB010,3,P3E,EA,SS3003,Fab Tech,
1.4.3.7,      P-BBS-UQ-999-00005,8,"SAE 841 Unmounted Plain Bronze Sleeve Bearing For 3/4"" Shaft Dia: 1"" OD: 1-1/2"" Lg",,EA,Pht,F,FAB010,5,HWARE,EA,6391K268,McMaster-Carr,4.9
1.4.3.8,      P-PYK-UQ-999-13125,12,"1/8"" x 1-1/4"" Cotter Pin; 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,EA,74211,Fastenal,0.1612
1.4.4,    A-VMQ-TB-003-01295,1,2016 BEARCAT LIBERATOR FRAME ASSY,,EA,Nor,F,PAT003,PE,P3E,EA,,Patriot3,
1.4.4.1,      A-VAQ-TB-003-00777,3,LIBERATOR CROSS MEMBER ASSEMBLY,,EA,Nor,F,PAT003,PE,P3E,EA,,Patriot3,
1.4.4.1.1,        A-WAQ-AB-003-00190,1,LIBERATOR CROSS MEMBER WELDMENT,B,EA,Nor,P,FAB010,3,P3E,EA,WD3190,Fab Tech,
1.4.4.1.1.1,          F-DAC-UQ-003-00028,1,LIBERATOR CROSS MEMBER CHANNEL,B,EA,Pht,F,FAB010,3,P3E,EA,AC3028,Fab Tech,
1.4.4.1.1.2,          F-DAF-UQ-003-00008,2,CROSS MEMBER END PLATE,,EA,Pht,F,FAB010,3,P3E,EA,AF3008,Fab Tech,
1.4.4.1.2,        F-DAF-AB-003-00019,2,LIBERATOR FRAME SPACER BLOCK,,EA,Nor,P,FAB010,3,P3E,EA,AF3019,Fab Tech,
1.4.4.1.3,        P-FSU-UQ-999-50600-P,2,"304 SS U-Bolt: 1/2""-13: 6"" Inside Length",,EA,Nor,P,MCM010,5,HWARE,EA,29535T17,McMaster-Carr,17.55
1.4.4.1.4,        P-NYN-UQ-999-50000,4,"1/2""-13 Nylock Nut: 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,PG,1170864,Fastenal,0.9198
1.4.4.2,      A-VAQ-TB-003-00778,1,LIBERATOR HATCH CHANNEL ASSY: LH,,EA,Nor,F,PAT003,PE,P3E,EA,,Patriot3,
1.4.4.2.1,        A-WAQ-AB-003-00192,1,LIBERATOR HATCH CHANNEL WELDMENT: LH,A,EA,Nor,P,FAB010,3,P3E,EA,WD3192,Fab Tech,
1.4.4.2.1.1,          F-DAC-UQ-003-00030,1,LIBERATOR HATCH CHANNEL: LH,A,EA,Pht,F,FAB010,3,P3E,EA,AC3030,Fab Tech,
1.4.4.2.1.2,          F-DAF-UQ-003-00008,1,CROSS MEMBER END PLATE,,EA,Pht,F,FAB010,3,P3E,EA,AF3008,Fab Tech,
1.4.4.2.2,        F-DAF-AB-003-00019,1,LIBERATOR FRAME SPACER BLOCK,,EA,Nor,P,FAB010,3,P3E,EA,AF3019,Fab Tech,
1.4.4.2.3,        P-FSU-UQ-999-50600-P,1,"304 SS U-Bolt: 1/2""-13: 6"" Inside Length",,EA,Nor,P,MCM010,5,HWARE,EA,29535T17,McMaster-Carr,17.55
1.4.4.2.4,        P-NYN-UQ-999-50000,2,"1/2""-13 Nylock Nut: 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,PG,1170864,Fastenal,0.9198
1.4.4.3,      A-VAQ-TB-003-00779,1,BEARCAT LIBERATOR REAR CROSS MEMBER ASSEMBLY,,EA,Nor,F,PAT003,PE,P3E,EA,,Patriot3,
1.4.4.3.1,        A-WAQ-AB-003-00226,1,BEARCAT LIBERATOR REAR CROSS WELDMENT,B,EA,Nor,P,FAS010,5,HWARE,PG,M82600035A20000,Fastenal,29
1.4.4.3.1.1,          F-DAC-UQ-003-00035,1,BEARCAT LIBERATOR REAR CROSS CHANNEL,B,EA,Pht,F,FAB010,3,P3E,EA,AC3035,Fab Tech,
1.4.4.3.1.2,          F-DAF-UQ-003-00008,2,CROSS MEMBER END PLATE,,EA,Pht,F,FAB010,3,P3E,EA,AF3008,Fab Tech,
1.4.4.3.2,        F-DAF-AB-003-00025,2,LIBERATOR REAR CROSS TAB,,EA,Nor,P,FAB010,3,P3E,EA,AF3025,Fab Tech,
1.4.4.3.3,        P-FSS-UQ-999-38275-P,2,"304 SSl U-Bolt: 3/8""-16: 1 3/4"" ID: 2 3/4"" Height",,EA,Nor,P,MCM010,5,HWARE,EA,8896T79,McMaster-Carr,8.12
1.4.4.3.4,        P-FYH-UQ-998-10035-F,4,M10 x 35 Hex Head Cap Screw: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,M82600035A20000,Fastenal,29
